,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
3083.36,316.06232,3083.36,329.80057,3083.36,162.25671,3083.36,272.33043,3083.36,829.31157,3083.36,598.24878
3082.13,297.83211,3082.13,327.72274,3082.13,156.6354,3082.13,257.3629,3082.13,808.54725,3082.13,564.33778
3080.9,280.5439,3080.9,311.47812,3080.9,154.99872,3080.9,249.3655,3080.9,759.26982,3080.9,529.01843
3079.67,261.1415,3079.67,287.49361,3079.67,139.00852,3079.67,236.95184,3079.67,691.70985,3079.67,491.6749
3078.44,234.02767,3078.44,262.87334,3078.44,121.2609,3078.44,220.14101,3078.44,615.74802,3078.44,448.88848
3077.21,202.0221,3077.21,222.62947,3077.21,106.8289,3077.21,200.41372,3077.21,520.23546,3077.21,405.82387
3075.98,157.57532,3075.98,181.05397,3075.98,83.83098,3075.98,177.19196,3075.98,403.75635,3075.98,359.18944
3074.74,111.2462,3074.74,129.10091,3074.74,59.52457,3074.74,146.74517,3074.74,278.32345,3074.74,304.01668
3073.51,67.62714,3073.51,87.7578,3073.51,31.9466,3073.51,124.58097,3073.51,136.15902,3073.51,256.77161
3072.28,39.57903,3072.28,62.24901,3072.28,23.39319,3072.28,101.19978,3072.28,13.54911,3072.28,214.93386
3071.05,31.25682,3071.05,55.55606,3071.05,22.97216,3071.05,87.69874,3071.05,-15.40957,3071.05,189.6301
3069.82,28.73901,3069.82,67.82543,3069.82,20.96343,3069.82,85.07696,3069.82,70.53997,3069.82,180.97787
3068.58,37.70578,3068.58,77.77975,3068.58,17.85968,3068.58,84.40312,3068.58,114.61531,3068.58,193.25039
3067.35,55.06906,3067.35,72.00062,3067.35,14.58564,3067.35,84.08595,3067.35,118.8053,3067.35,184.80635
3066.12,53.53884,3066.12,70.18027,3066.12,15.77919,3066.12,78.98717,3066.12,113.68463,3066.12,173.07968
3064.89,48.29461,3064.89,80.86953,3064.89,10.87772,3064.89,81.96082,3064.89,104.01983,3064.89,161.51559
3063.65,45.4094,3063.65,96.58357,3063.65,-1.43347,3063.65,79.0203,3063.65,105.19017,3063.65,152.56246
3062.42,44.39259,3062.42,113.36758,3062.42,-4.28185,3062.42,73.72072,3062.42,113.57844,3062.42,145.47112
3061.19,33.14102,3061.19,111.57972,3061.19,-2.69245,3061.19,65.86905,3061.19,114.0263,3061.19,129.32313
3059.95,37.57614,3059.95,113.57608,3059.95,-2.80473,3059.95,64.63763,3059.95,113.59293,3059.95,121.90096
3058.72,39.83561,3058.72,120.04484,3058.72,0.45424,3058.72,65.67143,3058.72,112.39086,3058.72,112.35966
3057.48,40.46857,3057.48,118.91095,3057.48,-0.65344,3057.48,62.31848,3057.48,113.06811,3057.48,105.98861
3056.25,40.32621,3056.25,114.82065,3056.25,-9.63477,3056.25,55.51244,3056.25,105.21156,3056.25,99.54884
3055.01,41.89394,3055.01,115.25004,3055.01,-18.31048,3055.01,45.19321,3055.01,96.4406,3055.01,96.61747
